Day,Hour,Room,Temperature
2,16,6,34.50526
2,17,1,37.332897
2,17,2,33.519398
2,17,3,37.521305
2,17,4,36.461014
2,17,5,35.61572
2,17,6,36.381218
2,18,1,34.99442
2,18,2,33.2398
2,18,3,36.70378
2,18,4,34.58651
2,18,5,36.253956
2,18,6,34.089344
2,19,1,22.044802
2,19,2,22.09956
2,19,3,21.480968
2,19,4,21.314072
2,19,5,20.94317
2,19,6,20.307571
2,20,1,4.3654075
2,20,2,2.8311026
2,20,3,2.5871942
2,20,4,3.1345196
2,20,5,3.7842484
2,20,6,4.6233964
2,21,1,3.55441
2,21,2,6.2680054
2,21,3,5.595246
2,21,4,4.6253757
2,21,5,7.617645
2,21,6,6.353917
2,22,1,3.94529
2,22,2,4.674774
2,22,3,5.41711
2,22,4,4.01408
2,22,5,4.771615
2,22,6,4.6268435
2,23,1,3.774678
2,23,2,6.655767
2,23,3,4.997475
2,23,4,5.98231
2,23,5,5.099721
2,23,6,4.616126
3,0,1,8.008018
3,0,2,7.123238
3,0,3,10.398834
3,0,4,7.2225084
3,0,5,6.6227474
3,0,6,7.8322706
3,1,1,7.1653485
3,1,2,4.912594
3,1,3,4.6847463
3,1,4,4.0955315
3,1,5,5.033249
3,1,6,3.6641517
3,2,1,7.2845597
3,2,2,8.748744
3,2,3,6.4813385
3,2,4,6.7375436
3,2,5,9.492872
3,2,6,7.768219
3,3,1,5.471638
3,3,2,3.167738
3,3,3,4.9490614
3,3,4,2.2200415
3,3,5,2.980011
3,3,6,2.8645637
3,4,1,5.255122
3,4,2,8.034944
3,4,3,6.6080904
3,4,4,8.327004
3,4,5,6.8227186
3,4,6,3.340857
3,5,1,7.231763
3,5,2,3.981402
3,5,3,4.58523
3,5,4,4.2373433
3,5,5,2.8783815
3,5,6,5.1886373
3,6,1,6.919808
3,6,2,9.952552
3,6,3,10.978239
3,6,4,8.052741
3,6,5,7.91313
3,6,6,8.218483
3,7,1,9.603289
3,7,2,5.4188867
3,7,3,6.832816
3,7,4,5.891041
3,7,5,3.3742583
3,7,6,4.341748
3,8,1,6.634469
3,8,2,9.661973
3,8,3,5.441721
3,8,4,7.9745336
3,8,5,9.0768385
3,8,6,6.008099
3,9,1,3.86925
3,9,2,3.7302146
3,9,3,4.30096
3,9,4,4.830639
3,9,5,2.561832
3,9,6,4.842137
3,10,1,20.996607
3,10,2,22.93695
3,10,3,22.7494
3,10,4,22.18712
3,10,5,22.223015
3,10,6,19.138924
3,11,1,36.143238
3,11,2,34.283493
3,11,3,34.94245
3,11,4,36.299026
3,11,5,35.52557
3,11,6,32.183456
3,12,1,36.65468
3,12,2,35.05438
3,12,3,35.664967
3,12,4,35.516876
3,12,5,36.241787
3,12,6,35.025326
3,13,1,35.850372
3,13,2,35.10064
3,13,3,34.67045
3,13,4,34.231407
3,13,5,34.363106
3,13,6,35.482983
3,14,1,26.007301
3,14,2,24.14056
3,14,3,23.432608
3,14,4,24.343424
3,14,5,24.453558
3,14,6,24.05743
3,15,1,34.49275
3,15,2,33.69864
3,15,3,33.421604
3,15,4,33.366364
3,15,5,33.692047
3,15,6,31.193792
3,16,1,37.01891
3,16,2,33.786804
3,16,3,37.984406
3,16,4,36.590405
3,16,5,37.029438
3,16,6,34.873085
3,17,1,38.881355
3,17,2,35.731762
3,17,3,39.307587
3,17,4,36.01273
3,17,5,37.679256
3,17,6,37.15449
3,18,1,33.898834
3,18,2,33.253464
3,18,3,33.14973
3,18,4,32.83879
3,18,5,32.05168
3,18,6,33.323177
3,19,1,27.415588
3,19,2,25.67739
3,19,3,26.028263
3,19,4,26.72567
3,19,5,26.228567
3,19,6,25.835445
3,20,1,11.246824
3,20,2,6.5574155
3,20,3,7.2759748
3,20,4,8.176297
3,20,5,4.4829164
3,20,6,8.398674
3,21,1,4.108339
3,21,2,7.526604
3,21,3,5.497307
3,21,4,5.9336743
3,21,5,6.4290442
3,21,6,5.288892
3,22,1,5.420912
3,22,2,7.9772797
3,22,3,5.401621
3,22,4,5.7334805
3,22,5,6.526346
3,22,6,5.851772
3,23,1,5.5750165
3,23,2,4.9013176
3,23,3,7.514518
3,23,4,6.207507
3,23,5,4.19296
3,23,6,5.441349
4,0,1,10.185864
4,0,2,9.977558
4,0,3,8.321724
4,0,4,7.6049976
4,0,5,7.2009163
4,0,6,9.2029085
4,1,1,4.5627413
4,1,2,6.7568464
4,1,3,5.1667066
4,1,4,4.279136
4,1,5,5.598745
4,1,6,4.5374064
4,2,1,3.7191832
4,2,2,3.7929757
4,2,3,4.4825864
4,2,4,4.8525133
4,2,5,2.753023
4,2,6,4.1179705
4,3,1,4.742739
4,3,2,6.5376067
4,3,3,6.250469
4,3,4,5.2016506
4,3,5,6.7277255
4,3,6,6.170209
4,4,1,6.1209755
4,4,2,1.7206328
4,4,3,5.1737576
4,4,4,4.9582367
4,4,5,2.0072248
4,4,6,4.4552855
4,5,1,4.5105486
4,5,2,7.916632
4,5,3,5.2210093
4,5,4,5.693187
4,5,5,7.6377554
4,5,6,6.134236
4,6,1,4.3765545
4,6,2,2.8173118
4,6,3,2.4003613
4,6,4,1.7545956
4,6,5,3.022695
4,6,6,3.3206124
4,7,1,4.325897
4,7,2,5.107902
4,7,3,4.871244
4,7,4,6.0180936
4,7,5,6.4538403
4,7,6,3.7134557
4,8,1,8.4537115
4,8,2,4.9634757
4,8,3,5.0528684
4,8,4,4.863272
4,8,5,6.664298
4,8,6,5.51792
4,9,1,10.536893
4,9,2,12.97791
4,9,3,9.41142
4,9,4,10.421114
4,9,5,12.084942
4,9,6,10.065284
4,10,1,7.192228
4,10,2,3.1460683
4,10,3,4.9035215
4,10,4,2.794758
4,10,5,2.7494187
4,10,6,4.473445
4,11,1,5.824358
4,11,2,5.391731
4,11,3,5.667061
4,11,4,7.2168684
4,11,5,8.650299
4,11,6,6.8648677
4,12,1,6.2776833
4,12,2,7.568881
4,12,3,7.1820636
4,12,4,7.4525695
4,12,5,9.49847
4,12,6,7.931189
4,13,1,6.0498176
4,13,2,7.775954
4,13,3,7.187348
4,13,4,6.9465327
4,13,5,9.296243
4,13,6,7.2481346
4,14,1,5.17282
4,14,2,8.090204
4,14,3,5.2385955
4,14,4,6.8566637
4,14,5,8.099033
4,14,6,6.017968
4,15,1,4.065529
4,15,2,5.8286295
4,15,3,3.3101053
4,15,4,5.956234
4,15,5,7.526217
4,15,6,5.934978
4,16,1,2.7651608
4,16,2,5.907508
4,16,3,6.023589
4,16,4,3.869402
4,16,5,6.5402346
4,16,6,5.688063
4,17,1,4.556236
4,17,2,7.2228446
4,17,3,5.899611
4,17,4,5.415899
4,17,5,5.5220733
4,17,6,6.041296
4,18,1,5.7361493
4,18,2,7.0125384
4,18,3,6.0366597
4,18,4,8.171986
4,18,5,8.108388
4,18,6,5.67048
4,19,1,5.4103675
4,19,2,8.510198
4,19,3,6.330957
4,19,4,7.6903696
4,19,5,6.777091
4,19,6,7.43024
4,20,1,4.5826397
4,20,2,7.446586
4,20,3,6.7408466
4,20,4,4.639622
4,20,5,5.83027
4,20,6,5.6659303
4,21,1,6.488539
4,21,2,9.479088
4,21,3,6.32507
4,21,4,7.9800224
4,21,5,9.366892
4,21,6,7.1196113
4,22,1,5.9421477
4,22,2,4.6702795
4,22,3,2.7795455
4,22,4,4.184323
4,22,5,7.463924
4,22,6,3.516218
4,23,1,6.7658215
4,23,2,6.9732995
4,23,3,5.8160915
4,23,4,7.1987734
4,23,5,7.145373
4,23,6,6.841363
5,0,1,5.8525386
5,0,2,5.8505054
5,0,3,4.901829
5,0,4,4.7287874
5,0,5,5.392407
5,0,6,4.1343794
5,1,1,3.064775
5,1,2,5.4463625
5,1,3,5.9252987
5,1,4,3.2693486
5,1,5,4.4413886
5,1,6,5.003147
5,2,1,5.5675282
5,2,2,4.3562365
5,2,3,4.372407
5,2,4,5.5796313
5,2,5,3.8090246
5,2,6,6.125502
5,3,1,9.915274
5,3,2,9.971177
5,3,3,8.788519
5,3,4,9.831987
5,3,5,9.208583
5,3,6,8.4510565
5,4,1,5.557772
5,4,2,3.3703825
5,4,3,6.6718717
5,4,4,3.2394416
5,4,5,-0.085315995
5,4,6,2.781721
5,5,1,6.35046
5,5,2,7.8980823
5,5,3,6.305502
5,5,4,6.050647
5,5,5,8.583085
5,5,6,5.472021
5,6,1,6.5005503
5,6,2,3.5833437
5,6,3,3.3331952
5,6,4,2.5803564
5,6,5,2.8368177
5,6,6,2.481498
5,7,1,3.7399607
5,7,2,5.443513
5,7,3,7.202438
5,7,4,6.94247
5,7,5,6.015541
5,7,6,5.7606015
5,8,1,5.8411403
5,8,2,3.6524704
5,8,3,6.9789524
5,8,4,3.4764185
5,8,5,6.488884
5,8,6,3.4893544
5,9,1,6.270362
5,9,2,5.6870255
5,9,3,9.135451
5,9,4,7.522701
5,9,5,6.8050194
5,9,6,5.867421
5,10,1,9.9846525
5,10,2,9.854037
5,10,3,9.751081
5,10,4,10.247913
5,10,5,10.856589
5,10,6,8.729732
5,11,1,10.07156
5,11,2,10.407536
5,11,3,10.967101
5,11,4,12.480337
5,11,5,12.6053705
5,11,6,9.300289
5,12,1,7.0119386
5,12,2,9.22381
5,12,3,8.97282
5,12,4,9.4066725
5,12,5,11.217495
5,12,6,9.031008
5,13,1,6.583526
5,13,2,6.8440127
5,13,3,7.9159784
5,13,4,9.039679
5,13,5,8.751443
5,13,6,6.4832816
5,14,1,6.558327
5,14,2,7.541286
5,14,3,7.668953
5,14,4,5.8922186
5,14,5,8.818879
5,14,6,6.007113
5,15,1,5.1820097
5,15,2,7.621787
5,15,3,6.00079
5,15,4,5.8516593
5,15,5,4.5722365
5,15,6,6.294452
5,16,1,5.0415726
5,16,2,8.629843
5,16,3,9.740084
5,16,4,5.438165
5,16,5,8.250652
5,16,6,7.1422734
5,17,1,5.031444
5,17,2,7.8988423
5,17,3,8.950226
5,17,4,5.6097565
5,17,5,5.624675
5,17,6,5.5378423
5,18,1,1.8188361
5,18,2,4.559839
5,18,3,4.5309167
5,18,4,2.6028116
5,18,5,6.0408397
5,18,6,4.083398
5,19,1,1.528323
5,19,2,4.188231
5,19,3,3.3437948
5,19,4,2.7476158
5,19,5,2.5552502
5,19,6,4.5223656
5,20,1,4.9936614
5,20,2,7.5073757
5,20,3,6.432082
5,20,4,6.91291
5,20,5,5.5819583
5,20,6,6.6419168
5,21,1,6.2070627
5,21,2,7.226691
5,21,3,6.629989
5,21,4,7.064899
5,21,5,7.5681705
5,21,6,7.431892
5,22,1,6.9460187
5,22,2,6.974969
5,22,3,6.7790875
5,22,4,7.8656535
5,22,5,6.3165655
5,22,6,7.5221696
5,23,1,6.2108636
5,23,2,7.6499305
5,23,3,8.913105
5,23,4,7.5233808
5,23,5,6.313104
5,23,6,6.8519845
6,0,1,7.2186255
6,0,2,5.911276
6,0,3,7.311463
6,0,4,9.805355
6,0,5,5.9341726
6,0,6,8.620362
6,1,1,8.6058035
6,1,2,7.8695397
6,1,3,8.667989
6,1,4,6.8182683
6,1,5,8.326243
6,1,6,6.543758
6,2,1,3.6219568
6,2,2,2.0942726
6,2,3,2.0137193
6,2,4,4.320358
6,2,5,0.5355709
6,2,6,1.9233353
6,3,1,8.551639
6,3,2,11.025457
6,3,3,9.338869
6,3,4,10.792776
6,3,5,10.690167
6,3,6,9.349529
6,4,1,5.0893087
6,4,2,2.2006173
6,4,3,0.45514306
6,4,4,-0.92326695
6,4,5,2.173897
6,4,6,1.6904411
6,5,1,3.8622556
6,5,2,8.56824
6,5,3,6.0761194
6,5,4,5.3895197
6,5,5,6.8961143
6,5,6,6.0341997
6,6,1,6.7567687
6,6,2,8.570829
6,6,3,7.5678825
6,6,4,6.1160364
6,6,5,6.944179
6,6,6,8.5560255
6,7,1,3.15966
6,7,2,4.1681437
6,7,3,3.2959237
6,7,4,1.1392094
6,7,5,3.6185834
6,7,6,3.721021
6,8,1,5.8754263
6,8,2,8.901908
6,8,3,6.6088448
6,8,4,6.364475
6,8,5,9.551231
6,8,6,6.0241776
6,9,1,6.820992
6,9,2,5.492635
6,9,3,6.237869
6,9,4,6.274866
6,9,5,7.513809
6,9,6,7.0105124
6,10,1,22.944792
6,10,2,21.786634
6,10,3,22.681002
6,10,4,24.77148
6,10,5,23.970047
6,10,6,20.427494
6,11,1,31.446764
6,11,2,30.908741
6,11,3,32.37592
6,11,4,31.77174
6,11,5,32.373764
6,11,6,30.20031
6,12,1,35.488163
6,12,2,33.315113
6,12,3,37.807632
6,12,4,35.79206
6,12,5,34.720367
6,12,6,35.063656
6,13,1,33.459873
6,13,2,32.45521
6,13,3,34.956074
6,13,4,32.83069
6,13,5,30.955034
6,13,6,33.050842
6,14,1,26.049288
6,14,2,25.105463
6,14,3,25.67548
6,14,4,23.863064
6,14,5,24.103867
6,14,6,24.625584
6,15,1,33.75362
6,15,2,32.740208
6,15,3,32.380703
6,15,4,34.157326
6,15,5,34.686954
6,15,6,31.313595
6,16,1,35.611984
6,16,2,32.9538
6,16,3,37.11519
6,16,4,34.46494
6,16,5,35.83444
6,16,6,33.891335
6,17,1,34.584213
6,17,2,33.437298
6,17,3,34.83762
6,17,4,34.366085
6,17,5,35.10942
6,17,6,34.643524
6,18,1,33.974136
6,18,2,32.166462
6,18,3,33.84073
6,18,4,33.0159
6,18,5,34.79947
6,18,6,34.31822
6,19,1,26.039782
6,19,2,24.321692
6,19,3,24.034332
6,19,4,23.651585
6,19,5,23.490416
6,19,6,22.974932
6,20,1,7.4286556
6,20,2,6.0805254
6,20,3,6.264175
6,20,4,4.8913093
6,20,5,5.1417623
6,20,6,7.3337135
6,21,1,5.656306
6,21,2,9.964689
6,21,3,9.8237915
6,21,4,7.6168523
6,21,5,8.138236
6,21,6,8.281529
6,22,1,5.740279
6,22,2,7.904618
6,22,3,7.0497346
6,22,4,6.157278
6,22,5,7.0743785
6,22,6,6.8368855
6,23,1,5.4753494
6,23,2,7.9569035
6,23,3,4.0688577
6,23,4,6.7041025
6,23,5,8.649661
6,23,6,5.517452
7,0,1,4.013994
7,0,2,6.025606
7,0,3,5.193436
7,0,4,3.9339683
7,0,5,6.2591195
7,0,6,5.8990316
7,1,1,6.140809
7,1,2,7.497125
7,1,3,6.5756364
7,1,4,6.8904595
7,1,5,7.0863914
7,1,6,7.263333
7,2,1,5.3000555
7,2,2,6.521102
7,2,3,6.232041
7,2,4,7.175642
7,2,5,7.504221
7,2,6,8.694059
7,3,1,4.7619658
7,3,2,8.081881
7,3,3,6.991595
7,3,4,3.3676908
7,3,5,5.7238255
7,3,6,5.4941845
7,4,1,6.3668056
7,4,2,7.50303
7,4,3,8.173311
7,4,4,6.2555656
7,4,5,7.5966973
7,4,6,8.66921
7,5,1,7.337537
7,5,2,8.137944
7,5,3,8.097197
7,5,4,8.205695
7,5,5,7.816848
7,5,6,7.9102015
7,6,1,7.0351667
7,6,2,8.087733
7,6,3,8.790421
7,6,4,7.6465144
7,6,5,7.1445827
7,6,6,6.825762
7,7,1,7.1002936
7,7,2,7.2834964
7,7,3,5.7362523
7,7,4,7.723567
7,7,5,9.5102215
7,7,6,7.932683
7,8,1,3.2260618
7,8,2,3.419525
7,8,3,4.2938204
7,8,4,6.1227584
7,8,5,5.3683777
7,8,6,5.2230344
7,9,1,7.3100452
7,9,2,7.710647
7,9,3,8.671757
7,9,4,7.273207
7,9,5,7.48412
7,9,6,6.8522525
7,10,1,19.591516
7,10,2,21.211226
7,10,3,20.86185
7,10,4,21.645203
7,10,5,20.904287
7,10,6,19.599554
7,11,1,35.34975
7,11,2,34.733105
7,11,3,36.804634
7,11,4,36.128635
7,11,5,35.305
7,11,6,32.230022
7,12,1,32.66825
7,12,2,30.8741
7,12,3,34.160294
7,12,4,33.806885
7,12,5,31.297655
7,12,6,30.694218
7,13,1,34.888542
7,13,2,33.183075
7,13,3,33.484802
7,13,4,33.156933
7,13,5,32.455566
7,13,6,32.37999
7,14,1,28.760597
7,14,2,28.043055
7,14,3,28.21037
7,14,4,28.476675
7,14,5,27.858252
7,14,6,27.322071
7,15,1,36.11629
7,15,2,33.734497
7,15,3,35.630432
7,15,4,35.418884
7,15,5,35.08599
7,15,6,33.555527
7,16,1,40.190647
7,16,2,36.264347
7,16,3,40.04956
7,16,4,38.294098
7,16,5,40.788654
7,16,6,37.74579
7,17,1,39.709316
7,17,2,37.039383
7,17,3,39.25581
7,17,4,37.95109
7,17,5,37.83809
7,17,6,38.48958
7,18,1,34.56674
7,18,2,31.684748
7,18,3,35.1427
7,18,4,32.746857
7,18,5,35.365368
7,18,6,35.403908
7,19,1,25.003487
7,19,2,24.452389
7,19,3,23.223618
7,19,4,23.679516
7,19,5,23.44127
7,19,6,23.461662
7,20,1,7.964252
7,20,2,6.953197
7,20,3,8.862994
7,20,4,6.359951
7,20,5,8.661193
7,20,6,8.25059
7,21,1,6.5446987
7,21,2,8.793024
7,21,3,7.737558
7,21,4,7.70701
7,21,5,10.703076
7,21,6,8.386526
7,22,1,4.025985
7,22,2,4.551412
7,22,3,4.2385416
7,22,4,5.056897
7,22,5,5.6705427
7,22,6,5.314043
7,23,1,4.4093676
7,23,2,5.8962436
7,23,3,6.145948
7,23,4,7.0081134
7,23,5,5.1612744
7,23,6,7.1896276
8,0,1,6.2563224
8,0,2,8.500697
8,0,3,7.9350486
8,0,4,7.414996
8,0,5,7.47326
8,0,6,7.5578766
8,1,1,9.904561
8,1,2,10.857992
8,1,3,8.995912
8,1,4,11.621413
8,1,5,11.27342
8,1,6,9.066339
8,2,1,7.9467583
8,2,2,8.928535
8,2,3,8.877176
8,2,4,8.36862
8,2,5,8.591742
8,2,6,8.840635
8,3,1,5.0820246
8,3,2,7.915926
8,3,3,6.9211874
8,3,4,7.845526
8,3,5,7.847687
8,3,6,7.1950393
8,4,1,6.1839104
8,4,2,9.253368
8,4,3,6.981354
8,4,4,7.1578045
8,4,5,8.187874
8,4,6,7.2859635
8,5,1,5.398145
8,5,2,5.8106565
8,5,3,6.4605937
8,5,4,7.826059
8,5,5,6.6164083
8,5,6,6.3663106
8,6,1,4.4760256
8,6,2,6.484277
8,6,3,6.9801617
8,6,4,4.8672695
8,6,5,7.3410854
8,6,6,6.3763037
8,7,1,3.1816494
8,7,2,5.3302093
8,7,3,5.403675
8,7,4,4.6685605
8,7,5,3.3567657
8,7,6,5.546233
8,8,1,6.7736087
8,8,2,8.028638
8,8,3,7.427769
8,8,4,8.439834
8,8,5,9.513714
8,8,6,8.089854
8,9,1,9.949997
8,9,2,13.145408
8,9,3,10.382692
8,9,4,11.338641
8,9,5,11.775556
8,9,6,11.078903
8,10,1,21.328491
8,10,2,21.898685
8,10,3,22.496738
8,10,4,22.620636
8,10,5,22.078024
8,10,6,21.274534
8,11,1,32.947327
8,11,2,33.707348
8,11,3,35.05701
8,11,4,33.660835
8,11,5,33.395824
8,11,6,31.395159
8,12,1,36.377895
8,12,2,34.391438
8,12,3,38.231335
8,12,4,34.7628
8,12,5,36.307728
8,12,6,34.184532
8,13,1,35.23026
8,13,2,33.047295
8,13,3,33.40138
8,13,4,34.00381
8,13,5,33.191227
8,13,6,33.729218
8,14,1,24.123121
8,14,2,21.045025
8,14,3,22.213987
8,14,4,23.716677
8,14,5,21.932177
8,14,6,21.756752
8,15,1,31.571463
8,15,2,31.200048
8,15,3,32.11159
8,15,4,32.613956
8,15,5,31.207527
8,15,6,30.210133
8,16,1,35.33219
8,16,2,33.473232
8,16,3,34.893883
8,16,4,33.398174
8,16,5,35.36296
8,16,6,32.390175
8,17,1,38.49965
8,17,2,36.894627
8,17,3,40.249683
8,17,4,37.686813
8,17,5,39.91562
8,17,6,36.723267
8,18,1,36.572193
8,18,2,35.124535
8,18,3,37.93957
8,18,4,36.97289
8,18,5,37.84834
