Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.229526042938232,1.6197767125235663,384492.6586151123,[-3.905288]
4.179594993591309,1.5418210294511583,384355.53455352783,[-3.9288807]
4.20607590675354,1.5549133751127455,380880.5732727051,[-3.7421389]
4.220215082168579,1.4321437411838107,388318.5987472534,[-3.4953766]
4.206745147705078,1.4546859396828546,381350.84533691406,[-3.5693386]
4.419439315795898,1.420415586895413,403289.3533706665,[-3.5046608]
4.2268760204315186,1.611578517489963,397495.88680267334,[-3.838422]
4.189987897872925,7.761713104115592,321329.17404174805,[-16.189943]
4.249542236328125,2.9736756881078086,400858.81519317627,[-7.2569594]
4.2121782302856445,8.163075831201342,608176.5460968018,[-18.121943]
4.243316888809204,6.97020626730389,690287.2257232666,[-16.673922]
4.323994874954224,9.092536648942364,737703.3367156982,[-20.897434]
4.237756967544556,13.816013371222652,659384.7637176514,[-28.94335]
4.196912050247192,13.727690608240664,662025.1293182373,[-28.808434]
4.244516134262085,13.073584222079566,661747.1961975098,[-27.574516]
4.279000997543335,13.430026029754016,663621.3283538818,[-28.29708]
4.228370904922485,13.126214713789523,646245.698928833,[-27.64544]
4.257486820220947,13.758703553247162,657671.2894439697,[-28.83725]
4.223176956176758,13.608402489994964,647941.4958953857,[-28.492432]
4.207489728927612,13.848859773638347,648823.392868042,[-28.989569]
4.163059949874878,13.301270358057486,646656.2557220459,[-27.948973]
4.223243951797485,13.351911149647398,675044.0940856934,[-28.102259]
4.2042999267578125,12.82905049663451,668774.6391296387,[-27.106108]
4.246535778045654,13.339506659294582,642255.8631896973,[-27.980394]
4.246787786483765,13.287518915823764,637663.143157959,[-27.884432]
4.220538854598999,12.48358997164501,625484.5199584961,[-26.3322]
4.18410587310791,11.726961430576113,630597.0077514648,[-24.954874]
4.209389686584473,12.125100744267305,645410.0513458252,[-25.71502]
4.252981901168823,11.89498152004348,647604.0878295898,[-25.301558]
4.203157186508179,13.910823206122991,686999.5365142822,[-29.270697]
4.212213039398193,16.72670911788009,831196.3500976562,[-34.90437]
4.207305908203125,16.772206908389407,831564.453125,[-34.96181]
4.194080114364624,16.603229103208932,828969.4976806641,[-34.61803]
4.23508095741272,15.391716587460703,805800.3921508789,[-32.352657]
4.175649166107178,6.416494028435813,671743.8316345215,[-15.536842]
4.236546993255615,6.668998691770765,668372.7340698242,[-15.981395]
4.180024862289429,6.125751968887117,675719.6521759033,[-14.806218]
4.233747959136963,5.123511996534136,636027.9064178467,[-12.855496]
4.21006178855896,4.318330354160732,677332.0331573486,[-9.877536]
4.311530828475952,4.168089575237698,659746.4294433594,[-9.574826]
4.27211594581604,4.179736938741472,662587.9516601562,[-9.678564]
4.160226106643677,4.120061655839284,645614.933013916,[-9.758741]
4.190745115280151,3.988952524132199,654304.1954040527,[-9.530156]
4.135625123977661,7.358118414878845,624573.3127593994,[-16.684454]
4.2374279499053955,6.908290230565601,602173.4523773193,[-15.767437]
4.168917894363403,6.788050343592961,625216.5756225586,[-15.67559]
4.209653854370117,6.011350366804335,635878.1833648682,[-14.235246]
4.229130029678345,5.813368959559335,631748.7468719482,[-13.781686]
4.202426910400391,6.159012443489498,617542.724609375,[-14.383957]
4.166383981704712,5.469117479191886,620576.6792297363,[-13.019198]
4.421621084213257,5.426220526297887,621389.4348144531,[-12.961086]
4.300347328186035,5.462512559360928,627641.1876678467,[-12.937164]
4.69976282119751,5.658333228694068,607572.8874206543,[-13.416371]
4.268413066864014,6.120652970340517,608336.4791870117,[-14.287953]
4.3801047801971436,6.142333252562417,590647.6879119873,[-14.1556425]
4.225091934204102,6.13130921125412,611605.1654815674,[-14.265663]
4.195187091827393,5.909455806016922,612609.2662811279,[-13.894837]
4.3557209968566895,5.41745126247406,615943.998336792,[-12.949307]
5.1633031368255615,4.803308096196917,586713.4532928467,[-11.578174]
4.717688083648682,3.662327766418457,585322.9656219482,[-8.606385]
4.584757089614868,3.6979240245289273,581977.7717590332,[-8.800313]
4.954550743103027,3.588345832294888,584120.1477050781,[-8.57632]
4.474108934402466,3.4015576044718423,558382.1868896484,[-8.189422]
4.949352025985718,3.251573986477322,554844.6674346924,[-7.7038994]
4.735188961029053,3.305427802933587,547864.5782470703,[-7.9892354]
4.660068035125732,3.620662053426107,537331.2931060791,[-8.813413]
