Day,Hour,Room,Temperature
2,18,2,21.720934
2,18,3,21.85331
2,18,4,21.899141
2,18,5,21.64706
2,18,6,21.895237
2,19,1,22.577984
2,19,2,21.371347
2,19,3,21.774723
2,19,4,21.754213
2,19,5,21.374983
2,19,6,21.626621
2,20,1,22.733538
2,20,2,21.661974
2,20,3,22.110321
2,20,4,22.093203
2,20,5,21.766521
2,20,6,21.768517
2,21,1,22.51089
2,21,2,21.611752
2,21,3,21.957895
2,21,4,21.905956
2,21,5,21.656
2,21,6,21.810818
2,22,1,22.931023
2,22,2,22.091736
2,22,3,22.440617
2,22,4,22.345396
2,22,5,22.173502
2,22,6,22.243448
2,23,1,22.722528
2,23,2,21.839376
2,23,3,22.175854
2,23,4,22.069565
2,23,5,21.894527
2,23,6,22.043987
3,0,1,22.45731
3,0,2,21.553288
3,0,3,21.90764
3,0,4,21.799282
3,0,5,21.610285
3,0,6,21.797035
3,1,1,22.567184
3,1,2,21.707844
3,1,3,22.085457
3,1,4,21.996136
3,1,5,21.788351
3,1,6,21.906467
3,2,1,23.223103
3,2,2,22.421938
3,2,3,22.80348
3,2,4,22.683084
3,2,5,22.53297
3,2,6,22.537249
3,3,1,22.90239
3,3,2,22.026348
3,3,3,22.3738
3,3,4,22.257042
3,3,5,22.094307
3,3,6,22.21836
3,4,1,22.873495
3,4,2,22.026846
3,4,3,22.379288
3,4,4,22.277397
3,4,5,22.105473
3,4,6,22.202156
3,5,1,22.65379
3,5,2,21.76526
3,5,3,22.126043
3,5,4,22.02161
3,5,5,21.833765
3,5,6,21.983692
3,6,1,22.57397
3,6,2,21.70998
3,6,3,22.085363
3,6,4,21.999693
3,6,5,21.789083
3,6,6,21.916273
3,7,1,23.222628
3,7,2,22.422312
3,7,3,22.803293
3,7,4,22.68321
3,7,5,22.533108
3,7,6,22.537357
3,8,1,23.360481
3,8,2,22.544107
3,8,3,22.885054
3,8,4,22.764334
3,8,5,22.634449
3,8,6,22.659342
3,9,1,23.120865
3,9,2,22.420576
3,9,3,22.731586
3,9,4,22.551603
3,9,5,22.46839
3,9,6,22.507153
3,10,1,22.582615
3,10,2,22.035013
3,10,3,22.306908
3,10,4,22.102484
3,10,5,21.95958
3,10,6,22.019861
3,11,1,22.750648
3,11,2,22.263472
3,11,3,22.497791
3,11,4,22.327953
3,11,5,22.205978
3,11,6,22.20132
3,12,1,22.722033
3,12,2,22.120098
3,12,3,22.343353
3,12,4,22.282887
3,12,5,22.067606
3,12,6,22.206339
3,13,1,22.538849
3,13,2,21.86501
3,13,3,22.108536
3,13,4,22.070013
3,13,5,21.838076
3,13,6,22.10183
3,14,1,22.381046
3,14,2,21.766117
3,14,3,22.000664
3,14,4,21.974064
3,14,5,21.737118
3,14,6,22.0376
3,15,1,22.49782
3,15,2,21.866165
3,15,3,22.108948
3,15,4,22.07562
3,15,5,21.863008
3,15,6,22.168306
3,16,1,22.264091
3,16,2,21.76226
3,16,3,21.963043
3,16,4,22.028454
3,16,5,21.693098
3,16,6,22.072023
3,17,1,22.047186
3,17,2,21.55751
3,17,3,21.748875
3,17,4,21.824833
3,17,5,21.488176
3,17,6,21.901886
3,18,1,21.513786
3,18,2,20.973158
3,18,3,21.134941
3,18,4,21.205685
3,18,5,20.878075
3,18,6,21.327658
3,19,1,22.880053
3,19,2,21.663095
3,19,3,22.143175
3,19,4,22.08159
3,19,5,21.75169
3,19,6,21.807781
3,20,1,22.57364
3,20,2,21.685383
3,20,3,22.015234
3,20,4,22.009779
3,20,5,21.71844
3,20,6,21.841564
3,21,1,22.963072
3,21,2,22.098146
3,21,3,22.44607
3,21,4,22.357584
3,21,5,22.16698
3,21,6,22.246702
3,22,1,22.5111
3,22,2,21.587273
3,22,3,21.922728
3,22,4,21.82512
3,22,5,21.619297
3,22,6,21.822828
3,23,1,22.443157
3,23,2,21.552807
3,23,3,21.91204
3,23,4,21.813135
3,23,5,21.617249
3,23,6,21.784657
4,0,1,23.0269
4,0,2,22.221874
4,0,3,22.595627
4,0,4,22.501184
4,0,5,22.326105
4,0,6,22.347178
4,1,1,23.12778
4,1,2,22.277794
4,1,3,22.634144
4,1,4,22.516186
4,1,5,22.365282
4,1,6,22.433945
4,2,1,22.474241
4,2,2,21.553953
4,2,3,21.898146
4,2,4,21.777607
4,2,5,21.598497
4,2,6,21.814331
4,3,1,22.562614
4,3,2,21.71049
4,3,3,22.084326
4,3,4,21.996702
4,3,5,21.789309
4,3,6,21.905373
4,4,1,22.995514
4,4,2,22.163847
4,4,3,22.54885
4,4,4,22.430052
4,4,5,22.263666
4,4,6,22.317612
4,5,1,22.816624
4,5,2,21.970322
4,5,3,22.337336
4,5,4,22.250986
4,5,5,22.055662
4,5,6,22.154005
4,6,1,22.356264
4,6,2,21.451464
4,6,3,21.830706
4,6,4,21.748304
4,6,5,21.519089
4,6,6,21.706562
4,7,1,22.71124
4,7,2,21.842436
4,7,3,22.24189
4,7,4,22.097189
4,7,5,21.927671
4,7,6,22.039877
4,8,1,22.951984
4,8,2,22.113367
4,8,3,22.500164
4,8,4,22.361212
4,8,5,22.204384
4,8,6,22.283798
4,9,1,22.909199
4,9,2,22.192728
4,9,3,22.57534
4,9,4,22.385899
4,9,5,22.258297
4,9,6,22.306011
4,10,1,22.187595
4,10,2,21.518244
4,10,3,21.90389
4,10,4,21.520794
4,10,5,21.46232
4,10,6,21.71239
4,11,1,23.126038
4,11,2,22.422915
4,11,3,22.75946
4,11,4,22.520683
4,11,5,22.404177
4,11,6,22.4437
4,12,1,22.532501
4,12,2,21.952354
4,12,3,22.193895
4,12,4,22.053513
4,12,5,21.89229
4,12,6,22.003332
4,13,1,22.906773
4,13,2,22.321558
4,13,3,22.554825
4,13,4,22.4601
4,13,5,22.28991
4,13,6,22.381815
4,14,1,22.820015
4,14,2,22.165924
4,14,3,22.419928
4,14,4,22.390469
4,14,5,22.160393
4,14,6,22.398726
4,15,1,22.313934
4,15,2,21.663574
4,15,3,21.92824
4,15,4,21.928251
4,15,5,21.636238
4,15,6,22.062273
4,16,1,22.29661
4,16,2,21.774195
4,16,3,21.975733
4,16,4,22.062693
4,16,5,21.688866
4,16,6,22.09987
4,17,1,22.353899
4,17,2,21.833939
4,17,3,22.032114
4,17,4,22.124369
4,17,5,21.764648
4,17,6,22.165352
4,18,1,21.682716
4,18,2,20.98562
4,18,3,21.17635
4,18,4,21.301504
4,18,5,20.888996
4,18,6,21.406172
4,19,1,23.238558
4,19,2,22.200068
4,19,3,22.569145
4,19,4,22.563265
4,19,5,22.239283
4,19,6,22.301926
4,20,1,22.252544
4,20,2,21.12075
4,20,3,21.481388
4,20,4,21.49553
4,20,5,21.1074
4,20,6,21.374779
4,21,1,22.34438
4,21,2,21.43292
4,21,3,21.779776
4,21,4,21.783594
4,21,5,21.467491
4,21,6,21.61229
4,22,1,22.475122
4,22,2,21.568579
4,22,3,21.936806
4,22,4,21.849401
4,22,5,21.635368
4,22,6,21.795116
4,23,1,22.860811
4,23,2,22.017893
4,23,3,22.387655
4,23,4,22.294413
4,23,5,22.111654
4,23,6,22.179882
5,0,1,22.886583
5,0,2,22.02042
5,0,3,22.3821
5,0,4,22.273766
5,0,5,22.101734
5,0,6,22.203985
5,1,1,22.650494
5,1,2,21.766228
5,1,3,22.125647
5,1,4,22.023048
5,1,5,21.834658
5,1,6,21.982939
5,2,1,22.802738
5,2,2,21.967714
5,2,3,22.340134
5,2,4,22.25229
5,2,5,22.058205
5,2,6,22.136456
5,3,1,22.814865
5,3,2,21.966127
5,3,3,22.340828
