Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.244374990463257,0.9007158941692777,298074.8710632324,[-2.1405551]
4.273066997528076,0.9330903159247504,300911.7851257324,[-2.1725304]
4.189329147338867,1.303075419531928,286301.549911499,[-2.87095]
4.279340028762817,1.3637287219365437,285730.016708374,[-3.0051386]
4.206714153289795,1.1821572913063898,289287.3201370239,[-2.6459122]
4.202883958816528,0.9206889470418295,300777.3742675781,[-2.142795]
4.066740036010742,0.9303919209374322,296941.41578674316,[-2.1717026]
4.0794432163238525,0.8181823492050171,301034.1491699219,[-1.9433469]
4.225671052932739,1.1293583048714533,294239.501953125,[-2.5653]
4.171850919723511,1.4185229937235515,286097.5065231323,[-3.0661356]
4.180747985839844,0.9862484004762437,295644.67906951904,[-2.3162441]
4.345753192901611,0.7591824796464708,303577.52323150635,[-1.8429755]
4.225178956985474,1.0581482648849487,295790.0266647339,[-2.402935]
4.194021940231323,1.2075893614027235,289491.5180206299,[-2.6722343]
4.046375036239624,0.8886545499165853,298283.9288711548,[-2.1051955]
4.293720245361328,1.157034781244066,290429.3394088745,[-2.552204]
4.052828073501587,0.8586207893159654,300287.0645523071,[-2.0145204]
4.149992942810059,0.9751950634850396,294187.3149871826,[-2.2048814]
4.193949222564697,0.7666369941499498,303588.02795410156,[-1.8171325]
3.9825708866119385,0.7439579831229316,304476.20391845703,[-1.768196]
4.202142000198364,0.811969346470303,299694.2071914673,[-1.8930569]
4.215301036834717,0.9373755984836154,297065.5155181885,[-2.1408107]
4.03090500831604,0.9317316346698337,296102.89478302,[-2.1168427]
4.1805572509765625,0.9439616070853339,296353.4183502197,[-2.1283295]
4.122024059295654,0.8483906189600626,298508.9998245239,[-1.9624543]
4.18905782699585,1.4985853566063776,282286.3664627075,[-3.1908967]
4.375234842300415,1.3138727347056072,286860.3525161743,[-2.85518]
4.35378098487854,0.9464627239439223,296511.7464065552,[-2.148074]
4.277920961380005,0.9596136278576322,297126.48582458496,[-2.2297153]
4.314435958862305,0.7868935134675767,298561.45572662354,[-1.8222699]
4.541422128677368,0.7521230777104696,301361.0067367554,[-1.8060513]
4.328958034515381,0.7455931769476997,301882.306098938,[-1.774041]
4.325500249862671,0.9233710103564792,296981.8525314331,[-2.0880656]
4.30403208732605,0.8065730995602078,300218.14823150635,[-1.8709275]
4.176599025726318,0.753910051451789,301687.33406066895,[-1.8307983]
3.967125177383423,0.6983553965886434,306920.20893096924,[-1.6875702]
3.949553966522217,0.7377392715877957,303839.9324417114,[-1.7800413]
4.0482707023620605,0.7894755866792467,304542.4451828003,[-1.880015]
4.04378604888916,0.8534902069303725,300043.87855529785,[-1.9770075]
4.041492223739624,0.7364015446768867,301740.73028564453,[-1.765479]
4.019582986831665,0.9327213101916842,297918.8861846924,[-2.1277664]
4.125378847122192,0.8256540960735745,301267.17948913574,[-1.9350702]
3.957008123397827,0.7407566706339518,303180.43994903564,[-1.7743511]
4.095196962356567,1.1823047796885173,293191.10202789307,[-2.6356862]
4.027156114578247,1.0868284967210557,293877.39276885986,[-2.4351466]
4.01721978187561,0.7278564638561673,303871.3712692261,[-1.7145238]
3.920292854309082,0.711307962735494,307600.5620956421,[-1.7156571]
3.929455041885376,0.657372342215644,309013.0262374878,[-1.5937071]
3.960900068283081,0.6609837876425849,309735.7540130615,[-1.580637]
3.937730073928833,0.7269762092166476,306878.56101989746,[-1.7227963]
3.9618477821350098,0.9312764008839926,302981.0628890991,[-2.112259]
3.953132152557373,0.9886402951346503,300117.6071166992,[-2.2369375]
3.9689741134643555,0.7238322496414185,310617.8455352783,[-1.7257829]
3.989635944366455,0.845825539694892,308658.4596633911,[-1.9399815]
3.9916889667510986,0.6562691529591879,311575.46615600586,[-1.6079049]
3.9597690105438232,0.7560787465837266,309568.69888305664,[-1.7749133]
3.9284186363220215,0.6492159101698134,311186.15436553955,[-1.589764]
3.9885549545288086,0.5762928989198473,314889.99938964844,[-1.4560461]
4.0283362865448,0.5323738389545016,315234.2109680176,[-1.3719925]
4.015036344528198,0.6301348209381104,313544.2771911621,[-1.5655799]
4.044347047805786,0.6118059025870429,316641.7541503906,[-1.5076715]
3.9265010356903076,0.885240806473626,302520.88260650635,[-2.0143762]
3.945815086364746,1.0255748960706923,302036.997795105,[-2.3173277]
3.9099597930908203,1.0227526426315308,300601.2086868286,[-2.3141224]
3.96470308303833,0.8438755936092801,303064.55421447754,[-1.9317088]
3.9274590015411377,0.7022572093539767,307584.43546295166,[-1.6913835]
3.9325029850006104,0.8039394087261624,304361.8450164795,[-1.9040056]
4.02328896522522,0.7244874371422662,305432.6343536377,[-1.725731]
3.931720018386841,0.6641419331232706,310231.7876815796,[-1.6599842]
4.207491159439087,0.7113323476579454,313136.5795135498,[-1.7338396]
4.296373128890991,0.740477548705207,306882.6274871826,[-1.7803947]
4.3322930335998535,0.7282792197333442,307387.6724243164,[-1.8343538]
4.2829930782318115,1.0752200682957966,296282.73010253906,[-2.428781]
4.304566144943237,0.8278980387581719,303896.2574005127,[-1.9289002]
4.332395076751709,0.9358585278193156,302619.57359313965,[-2.1212265]
4.263351917266846,0.8300790124469333,304313.6157989502,[-1.9391462]
4.303422927856445,0.819618476761712,302711.85874938965,[-1.9265685]
4.137472152709961,0.7059623665279813,311214.46323394775,[-1.6750706]
3.9962711334228516,0.8302849663628472,309899.507522583,[-1.9006687]
3.9624369144439697,0.7841252485911051,307365.2582168579,[-1.8449612]
3.9716408252716064,0.6267923249138726,310591.97330474854,[-1.5413424]
3.971214771270752,0.7748251226213243,309651.85165405273,[-1.8229281]
3.992532968521118,0.6524065070682101,320777.53162384033,[-1.6041852]
3.961867094039917,0.6858816809124417,307647.2520828247,[-1.6659421]
3.941173791885376,0.6955588128831651,306725.7537841797,[-1.6791378]
3.942823886871338,0.8127225504981147,309257.69424438477,[-1.9055058]
3.9481141567230225,0.7072733773125542,309773.20098876953,[-1.7007817]
3.9299800395965576,0.8774425056245592,308487.23697662354,[-2.0338]
3.9579670429229736,0.6643121374977959,313177.2804260254,[-1.616424]
3.9625661373138428,0.866620832019382,308919.7835922241,[-2.001966]
3.91851806640625,0.7151568863126967,317403.9001464844,[-1.7253703]
3.920659065246582,0.716967397265964,318849.365234375,[-1.7875204]
3.9497509002685547,0.8496488995022244,313313.4412765503,[-2.0073872]
3.996403932571411,0.7501489321390787,315368.7391281128,[-1.8003321]
4.006196975708008,0.7288848691516452,322624.9990463257,[-1.7914934]
3.899449110031128,0.7593003776338365,313727.6277542114,[-1.8564543]
3.949096202850342,0.6699904865688748,322199.2883682251,[-1.6782827]
3.9860429763793945,0.8754401339424981,317141.1943435669,[-2.0530577]
3.9410102367401123,0.5914522409439087,320027.8310775757,[-1.5366508]
3.9461607933044434,0.7662008735868666,310120.17154693604,[-1.8484613]
3.9570188522338867,0.7524008618460761,312901.2460708618,[-1.8152605]
4.015413999557495,0.9249237775802612,309588.1814956665,[-2.1855483]
3.9571802616119385,0.8135483662287394,309194.82135772705,[-1.9522928]
3.8956449031829834,0.9181523190604316,303207.0665359497,[-2.1340811]
3.9548590183258057,0.9316068357891507,301638.1006240845,[-2.1726377]
3.9126131534576416,0.7802136341730753,305438.86280059814,[-1.8256227]
3.9134328365325928,0.8437531789143881,303295.3805923462,[-1.9546005]
3.9058902263641357,0.7073485453923544,305602.3054122925,[-1.709109]
3.8915371894836426,0.871287120713128,308826.5733718872,[-2.0038538]
3.9003520011901855,0.6315820349587334,311179.55684661865,[-1.5630474]
3.901710033416748,0.8294931650161743,309278.3451080322,[-1.9166805]
3.873778820037842,0.6793082687589858,317356.72092437744,[-1.6278256]
3.996410846710205,0.6644351217481825,315474.8315811157,[-1.6354061]
3.890380620956421,0.8615890476438735,303814.5055770874,[-1.9874464]
3.929687023162842,0.8890630404154459,307252.14672088623,[-2.0621886]
